sku,transaction_type,quantity,timestamp
WIDGET-1,receive,50,2026-01-02 12:00
BOLT-5,receive,20,2026-01-01 06:00
NUT-9,receive,abc,2026-01-01 10:05
NUT-9,transfer,5,2026-01-01 10:10
NUT-9,adjust,0,2026-01-01 10:15
NUT-9,ship,not_a_number,2026-01-01 10:20
BOLT-5,rcv,15,2026-01-02 08:00
GADGET-2, ship ,5,2026-01-02 08:30
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,receive,10,2026-01-02 09:00
WIDGET-1,receive,10,2026-01-02T09:30:00Z
COG-3,receive,4,
